index  confidence   rules
 312   0.998        ['14867', '14970', '15526', '15227', '15117', '15155']=>['14773']
 313   0.998        ['15125', '14867', '15526', '15117', '15155', '15180']=>['14773']
 314   0.998        ['14867', '15526', '14773', '15117', '15155', '15180']=>['15125']
 315   0.998        ['15526', '15227', '15165', '15155']=>['14773']
 316   0.998        ['15526', '15227', '15165', '15155']=>['15125']
 317   0.998        ['14970', '15526', '15117', '15155', '15165']=>['14773']
 318   0.998        ['15125', '14867', '14970', '15526', '15227', '15117', '15155']=>['14773']
 319   0.998        ['14867', '14970', '15526', '15227', '15117', '15155', '14773']=>['15125']
 320   0.998        ['15180', '15125', '15227', '15165']=>['14773']
 321   0.998        ['15125', '15526', '15227', '15155', '15165']=>['14773']
 322   0.998        ['15526', '15227', '14773', '15155', '15165']=>['15125']
 323   0.998        ['15125', '14867', '15526', '15117', '15165']=>['14773']
 324   0.998        ['15125', '14867', '15526', '15227', '15117', '15180']=>['14773']
 325   0.998        ['14867', '15526', '15227', '14773', '15117', '15180']=>['15125']
 326   0.998        ['14867', '14970', '15117', '15155', '15180']=>['15125']
 327   0.998        ['15125', '15526', '15117', '15180', '15165']=>['14773']
 328   0.998        ['15526', '14773', '15117', '15180', '15165']=>['15125']
 329   0.998        ['15125', '14867', '15227', '15155', '15180']=>['14773']
 330   0.998        ['14867', '15227', '14773', '15155', '15180']=>['15125']
 331   0.998        ['14867', '14970', '15117', '15155', '15180']=>['14773']
 332   0.998        ['15125', '14970', '15526', '15117', '15155', '15165']=>['14773']
 333   0.998        ['15125', '14867', '14970', '15117', '15165']=>['14773']
 334   0.998        ['15125', '14970', '15227', '15155', '15165']=>['14773']
 335   0.998        ['15125', '14970', '15117', '15180', '15165']=>['14773']
 336   0.998        ['14970', '14773', '15117', '15180', '15165']=>['15125']
 337   0.998        ['14867', '14970', '15227', '15117', '15180']=>['14773']
 338   0.998        ['14867', '14970', '15227', '15117', '15180']=>['15125']
 339   0.998        ['15125', '14867', '14970', '15117', '15155', '15180']=>['14773']
 340   0.998        ['14867', '14970', '14773', '15117', '15155', '15180']=>['15125']
 341   0.998        ['15227', '15117', '15155', '15165']=>['14773']
 342   0.998        ['15227', '15117', '15155', '15165']=>['15125']
 343   0.998        ['14984', '14825', '14922', '14132', '15200']=>['15180']
 344   0.998        ['15125', '14867', '14970', '15227', '15117', '15180']=>['14773']
 345   0.998        ['14867', '14970', '15227', '14773', '15117', '15180']=>['15125']
 346   0.998        ['15180', '15125', '15165', '15155']=>['14773']
 347   0.998        ['15180', '15526', '15227', '15165']=>['14773']
 348   0.998        ['15125', '15165', '15155', '14867']=>['14773']
 349   0.998        ['15180', '15125', '15165', '14867']=>['14773']
 350   0.998        ['15125', '15227', '15117', '15155', '15165']=>['14773']
 351   0.998        ['15227', '14773', '15117', '15155', '15165']=>['15125']
 352   0.998        ['15180', '15227', '15165', '14970']=>['14773']
 353   0.998        ['14867', '15526', '15227', '15155', '15180']=>['15125']
 354   0.998        ['14970', '15526', '15227', '15155', '15165']=>['14773']
 355   0.998        ['15125', '15526', '15227', '15180', '15165']=>['14773']
 356   0.998        ['14867', '15526', '15227', '15155', '15180']=>['14773']
 357   0.998        ['14970', '15526', '15227', '15155', '15165']=>['15125']
 358   0.998        ['14867', '14970', '15526', '15117', '15155', '15180']=>['14773']
 359   0.998        ['14867', '14970', '15526', '15117', '15155', '15180']=>['15125']
 360   0.998        ['15206', '14889', '15129', '15009', '15202']=>['14867']
 361   0.998        ['14867', '14970', '15526', '15227', '15117', '15180']=>['14773']
 362   0.998        ['15125', '14867', '14970', '15526', '15117', '15165']=>['14773']
 363   0.998        ['14867', '14970', '15526', '15227', '15117', '15180']=>['15125']
 364   0.998        ['15125', '14867', '15526', '15227', '15155', '15180']=>['14773']
 365   0.998        ['14867', '15526', '15227', '14773', '15155', '15180']=>['15125']
 366   0.998        ['15125', '14970', '15526', '15117', '15180', '15165']=>['14773']
 367   0.998        ['14970', '15526', '14773', '15117', '15180', '15165']=>['15125']
 368   0.998        ['15125', '14970', '15526', '15227', '15155', '15165']=>['14773']
 369   0.998        ['14970', '15526', '15227', '14773', '15155', '15165']=>['15125']
 370   0.998        ['15125', '14867', '14970', '15526', '15117', '15155', '15180']=>['14773']
 371   0.998        ['14867', '14970', '15526', '15117', '15155', '14773', '15180']=>['15125']
 372   0.998        ['15180', '15526', '15165', '15155']=>['14773']
 373   0.998        ['15125', '14867', '14970', '15526', '15227', '15117', '15180']=>['14773']
 374   0.998        ['14867', '14970', '15526', '15227', '15117', '14773', '15180']=>['15125']
 375   0.998        ['15526', '15227', '15117', '15155', '15165']=>['14773']
 376   0.998        ['15125', '14970', '15227', '15180', '15165']=>['14773']
 377   0.998        ['15526', '15227', '15117', '15155', '15165']=>['15125']
 378   0.998        ['14867', '14970', '15227', '15155', '15180']=>['14773']
 379   0.998        ['14867', '14970', '15227', '15155', '15180']=>['15125']
 380   0.998        ['15125', '14867', '14970', '15227', '15165']=>['14773']
 381   0.998        ['15227', '15117', '14867', '15165']=>['15125']
 382   0.998        ['15227', '15117', '14867', '15165']=>['14773']
 383   0.998        ['15125', '14867', '15526', '15155', '15165']=>['14773']
 384   0.998        ['15125', '14867', '15526', '15180', '15165']=>['14773']
 385   0.998        ['15125', '15526', '15155', '15180', '15165']=>['14773']
 386   0.998        ['15125', '14867', '14970', '15227', '15155', '15180']=>['14773']
 387   0.998        ['14867', '14970', '15227', '14773', '15155', '15180']=>['15125']
 388   0.998        ['15125', '15526', '15227', '15117', '15155', '15165']=>['14773']
 389   0.998        ['15526', '15227', '15117', '15155', '14773', '15165']=>['15125']
 390   0.998        ['15180', '15227', '15117', '15165']=>['14773']
 391   0.998        ['15180', '15227', '15117', '15165']=>['15125']
 392   0.998        ['14970', '15227', '15117', '15155', '15165']=>['14773']
 393   0.998        ['14867', '15227', '15117', '15155', '15180']=>['15125']
 394   0.998        ['15125', '14867', '15227', '15117', '15165']=>['14773']
 395   0.998        ['14867', '15227', '14773', '15117', '15165']=>['15125']
 396   0.998        ['14970', '15227', '15117', '15155', '15165']=>['15125']
 397   0.998        ['15125', '14970', '15155', '15180', '15165']=>['14773']
 398   0.998        ['14867', '15227', '15117', '15155', '15180']=>['14773']
 399   0.998        ['15125', '15227', '15117', '15180', '15165']=>['14773']
 400   0.998        ['15227', '14773', '15117', '15180', '15165']=>['15125']
 401   0.998        ['15125', '14867', '14970', '15155', '15165']=>['14773']
 402   0.998        ['14970', '15526', '15227', '15180', '15165']=>['14773']
 403   0.998        ['15125', '14970', '15227', '15117', '15155', '15165']=>['14773']
 404   0.998        ['14970', '15227', '14773', '15117', '15155', '15165']=>['15125']
 405   0.998        ['15125', '14867', '15227', '15117', '15155', '15180']=>['14773']
 406   0.998        ['14867', '15227', '14773', '15117', '15155', '15180']=>['15125']
 407   0.998        ['15180', '15117', '15155', '15165']=>['15125']
 408   0.998        ['15180', '15117', '15155', '15165']=>['14773']
 409   0.998        ['15125', '15117', '15155', '15180', '15165']=>['14773']
 410   0.998        ['14773', '15117', '15155', '15180', '15165']=>['15125']
