0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.0,104.0,15.0,85.0,102.0,106.7,34.0,34.0,100.0,106.7,127.0,104.0,102.0,54.0
1.0,104.0,16.0,85.0,101.0,106.0,34.0,34.0,99.0,106.0,130.0,104.0,100.0,54.0
1.0,104.0,17.0,85.0,101.0,106.4,34.0,35.0,98.0,106.4,129.0,104.0,100.0,53.5
1.0,104.0,18.0,85.0,101.0,106.0,34.0,35.0,96.0,106.0,126.0,104.0,101.0,53.5
1.0,58.0,1.0,85.0,100.0,105.1,39.0,35.0,87.0,105.1,125.0,58.0,100.0,56.8
1.0,104.0,19.0,85.0,102.0,106.3,36.0,35.0,99.0,106.3,129.0,104.0,102.0,53.5
1.0,58.0,2.0,85.0,100.0,104.8,35.0,35.0,96.0,104.8,131.0,58.0,101.0,56.8
1.0,104.0,20.0,85.0,100.0,106.0,36.0,34.0,98.0,106.0,133.0,104.0,100.0,53.5
1.0,58.0,3.0,85.0,100.0,105.8,34.0,34.0,97.0,105.8,134.0,58.0,99.0,54.6
1.0,104.0,21.0,85.0,100.0,105.1,33.0,35.0,99.0,105.1,134.0,104.0,100.0,53.3
1.0,58.0,4.0,85.0,100.0,105.6,34.0,35.0,102.0,105.6,124.0,58.0,100.0,54.6
1.0,104.0,22.0,85.0,101.0,106.0,34.0,35.0,98.0,106.0,129.0,104.0,101.0,53.3
1.0,58.0,5.0,85.0,100.0,107.2,34.0,35.0,99.0,107.2,131.0,58.0,101.0,52.9
1.0,104.0,23.0,85.0,101.0,106.9,34.0,35.0,98.0,106.9,123.0,104.0,101.0,53.3
1.0,58.0,6.0,85.0,100.0,107.6,35.0,34.0,98.0,107.6,125.0,58.0,100.0,52.9
1.0,104.0,24.0,85.0,100.0,107.3,35.0,34.0,99.0,107.3,125.0,104.0,101.0,53.3
1.0,58.0,7.0,85.0,100.0,107.3,35.0,35.0,102.0,107.3,126.0,58.0,100.0,55.1
1.0,104.0,25.0,85.0,101.0,106.1,34.0,35.0,100.0,106.1,135.0,104.0,99.0,53.3
1.0,58.0,8.0,85.0,100.0,107.3,35.0,34.0,101.0,107.3,128.0,58.0,101.0,55.1
1.0,104.0,26.0,85.0,102.0,106.7,34.0,35.0,99.0,106.7,132.0,104.0,103.0,53.3
1.0,58.0,9.0,85.0,100.0,107.6,36.0,35.0,100.0,107.6,129.0,58.0,99.0,53.5
1.0,104.0,27.0,85.0,100.0,107.0,35.0,35.0,98.0,107.0,131.0,104.0,99.0,55.0
1.0,58.0,10.0,85.0,100.0,107.9,35.0,35.0,101.0,107.9,126.0,58.0,99.0,53.5
1.0,104.0,28.0,85.0,101.0,106.4,34.0,35.0,100.0,106.4,128.0,104.0,100.0,55.0
1.0,58.0,11.0,85.0,100.0,108.2,36.0,35.0,101.0,108.2,128.0,58.0,98.0,54.5
1.0,104.0,29.0,85.0,100.0,107.5,37.0,35.0,99.0,107.5,126.0,104.0,101.0,54.4
1.0,58.0,12.0,85.0,100.0,107.1,34.0,35.0,99.0,107.1,130.0,58.0,100.0,54.5
1.0,104.0,30.0,85.0,101.0,107.4,35.0,35.0,101.0,107.4,122.0,104.0,99.0,54.4
1.0,58.0,13.0,85.0,100.0,104.4,31.0,34.0,96.0,104.4,121.0,58.0,99.0,53.4
1.0,104.0,31.0,85.0,101.0,106.9,34.0,35.0,100.0,106.9,130.0,104.0,99.0,55.5
1.0,58.0,14.0,85.0,100.0,104.8,32.0,35.0,97.0,104.8,130.0,58.0,100.0,53.4
1.0,104.0,32.0,85.0,101.0,107.0,35.0,35.0,102.0,107.0,121.0,104.0,101.0,55.5
1.0,58.0,15.0,85.0,100.0,106.7,35.0,35.0,99.0,106.7,124.0,58.0,99.0,52.2
1.0,104.0,33.0,85.0,100.0,106.5,33.0,35.0,101.0,106.5,129.0,104.0,99.0,55.9
1.0,58.0,16.0,85.0,100.0,107.0,35.0,34.0,98.0,107.0,124.0,58.0,100.0,52.2
1.0,104.0,34.0,85.0,100.0,105.5,32.0,34.0,99.0,105.5,130.0,104.0,100.0,55.9
1.0,58.0,17.0,85.0,100.0,107.4,36.0,35.0,99.0,107.4,108.0,58.0,100.0,52.4
1.0,104.0,35.0,85.0,100.0,106.4,34.0,35.0,98.0,106.4,124.0,104.0,100.0,57.1
1.0,58.0,18.0,85.0,100.0,106.7,34.0,34.0,100.0,106.7,125.0,58.0,100.0,52.4
1.0,104.0,36.0,85.0,102.0,105.9,32.0,34.0,99.0,105.9,128.0,104.0,101.0,57.1
1.0,58.0,19.0,85.0,100.0,105.6,33.0,35.0,98.0,105.6,134.0,58.0,100.0,52.1
1.0,104.0,37.0,85.0,101.0,106.8,35.0,34.0,98.0,106.8,121.0,104.0,100.0,56.9
1.0,58.0,20.0,85.0,100.0,107.3,35.0,35.0,98.0,107.3,116.0,58.0,100.0,52.1
1.0,104.0,38.0,85.0,100.0,107.2,36.0,34.0,99.0,107.2,128.0,104.0,99.0,56.9
1.0,58.0,21.0,85.0,100.0,106.1,34.0,35.0,99.0,106.1,127.0,58.0,98.0,52.7
1.0,104.0,39.0,85.0,101.0,106.7,35.0,35.0,101.0,106.7,122.0,104.0,100.0,54.5
1.0,58.0,22.0,85.0,100.0,106.1,33.0,35.0,100.0,106.1,125.0,58.0,99.0,52.7
1.0,104.0,40.0,85.0,102.0,105.9,33.0,35.0,100.0,105.9,136.0,104.0,101.0,54.5
1.0,58.0,23.0,85.0,100.0,106.2,33.0,35.0,99.0,106.2,126.0,58.0,100.0,52.4
1.0,104.0,41.0,85.0,101.0,106.4,33.0,35.0,99.0,106.4,128.0,104.0,101.0,54.4
1.0,58.0,24.0,85.0,100.0,106.5,34.0,34.0,100.0,106.5,131.0,58.0,99.0,52.4
1.0,104.0,42.0,85.0,102.0,106.4,34.0,35.0,99.0,106.4,128.0,104.0,101.0,54.4
1.0,58.0,25.0,85.0,100.0,105.9,33.0,35.0,98.0,105.9,129.0,58.0,99.0,53.0
1.0,104.0,43.0,85.0,101.0,107.7,35.0,35.0,100.0,107.7,121.0,104.0,101.0,53.8
1.0,58.0,26.0,85.0,100.0,106.3,35.0,35.0,98.0,106.3,128.0,58.0,100.0,53.0
1.0,104.0,44.0,85.0,101.0,106.7,34.0,34.0,100.0,106.7,126.0,104.0,99.0,53.8
1.0,58.0,27.0,85.0,100.0,105.4,35.0,34.0,98.0,105.4,131.0,58.0,99.0,54.2
1.0,104.0,45.0,85.0,102.0,105.4,31.0,35.0,98.0,105.4,121.0,104.0,102.0,53.8
1.0,58.0,28.0,85.0,100.0,107.7,36.0,34.0,100.0,107.7,126.0,58.0,100.0,54.2
